cartas_jugador,num_rivales,mano_preflop,flop,mano_flop,cartas_flop,turn,mano_turn,cartas_turn,river,mano_river,cartas_river,resultado
"['A♣', '9♦']",1,Carta Alta Offsuit,"['2♣', '5♦', '3♣']",Carta Alta,"['A♣', '9♦', '2♣', '5♦', '3♣']",['6♣'],Carta Alta,"['A♣', '9♦', '5♦', '3♣', '6♣']",['5♥'],Pareja,"['A♣', '9♦', '5♦', '6♣', '5♥']",Derrota
"['3♦', '3♣']",7,Pareja Offsuit,"['8♠', '6♥', '5♥']",Pareja,"['3♦', '3♣', '8♠', '6♥', '5♥']",['J♠'],Pareja,"['3♦', '3♣', '8♠', '6♥', 'J♠']",['4♠'],Pareja,"['3♦', '3♣', '8♠', '6♥', 'J♠']",Derrota
"['8♦', 'A♣']",3,Carta Alta Offsuit,"['4♠', '2♥', 'A♠']",Pareja,"['8♦', 'A♣', '4♠', '2♥', 'A♠']",['4♦'],Doble Pareja,"['8♦', 'A♣', '4♠', 'A♠', '4♦']",['10♦'],Doble Pareja,"['A♣', '4♠', 'A♠', '4♦', '10♦']",Victoria
"['A♦', '5♥']",1,Carta Alta Offsuit,"['2♦', 'A♠', '4♥']",Pareja,"['A♦', '5♥', '2♦', 'A♠', '4♥']",['9♥'],Pareja,"['A♦', '5♥', 'A♠', '4♥', '9♥']",['4♦'],Doble Pareja,"['A♦', 'A♠', '4♥', '9♥', '4♦']",Victoria
"['Q♠', '10♣']",7,Carta Alta Offsuit,"['7♠', 'A♦', '9♥']",Carta Alta,"['Q♠', '10♣', '7♠', 'A♦', '9♥']",['6♠'],Carta Alta,"['Q♠', '10♣', '7♠', 'A♦', '9♥']",['9♠'],Pareja,"['Q♠', '10♣', 'A♦', '9♥', '9♠']",Derrota
"['K♣', 'J♣']",6,Carta Alta Suited,"['Q♦', '10♠', '7♥']",Carta Alta,"['K♣', 'J♣', 'Q♦', '10♠', '7♥']",['8♣'],Carta Alta,"['K♣', 'J♣', 'Q♦', '10♠', '8♣']",['3♥'],Carta Alta,"['K♣', 'J♣', 'Q♦', '10♠', '8♣']",Derrota
"['Q♦', '7♦']",3,Carta Alta Suited,"['2♦', 'A♦', 'Q♣']",Pareja,"['Q♦', '7♦', '2♦', 'A♦', 'Q♣']",['3♦'],Color,"['Q♦', '7♦', '2♦', 'A♦', '3♦']",['2♥'],Color,"['Q♦', '7♦', '2♦', 'A♦', '3♦']",Victoria
"['7♣', 'Q♣']",2,Carta Alta Suited,"['3♠', '8♠', 'Q♦']",Pareja,"['7♣', 'Q♣', '3♠', '8♠', 'Q♦']",['Q♥'],Trío,"['7♣', 'Q♣', '8♠', 'Q♦', 'Q♥']",['6♠'],Trío,"['7♣', 'Q♣', '8♠', 'Q♦', 'Q♥']",Victoria
"['6♣', 'Q♠']",7,Carta Alta Offsuit,"['3♦', '9♣', '3♣']",Pareja,"['6♣', 'Q♠', '3♦', '9♣', '3♣']",['5♦'],Pareja,"['6♣', 'Q♠', '3♦', '9♣', '3♣']",['5♣'],Doble Pareja,"['Q♠', '3♦', '3♣', '5♦', '5♣']",Derrota
"['5♣', '7♠']",3,Carta Alta Offsuit,"['A♠', '9♥', '5♠']",Pareja,"['5♣', '7♠', 'A♠', '9♥', '5♠']",['K♦'],Pareja,"['5♣', 'A♠', '9♥', '5♠', 'K♦']",['6♥'],Pareja,"['5♣', 'A♠', '9♥', '5♠', 'K♦']",Derrota
"['A♣', '4♣']",4,Carta Alta Suited,"['7♠', 'Q♥', '10♦']",Carta Alta,"['A♣', '4♣', '7♠', 'Q♥', '10♦']",['2♥'],Carta Alta,"['A♣', '4♣', '7♠', 'Q♥', '10♦']",['5♥'],Carta Alta,"['A♣', '7♠', 'Q♥', '10♦', '5♥']",Derrota
"['2♥', '2♠']",4,Pareja Offsuit,"['J♥', '3♦', '8♦']",Pareja,"['2♥', '2♠', 'J♥', '3♦', '8♦']",['9♦'],Pareja,"['2♥', '2♠', 'J♥', '8♦', '9♦']",['7♠'],Pareja,"['2♥', '2♠', 'J♥', '8♦', '9♦']",Derrota
"['7♥', '5♥']",4,Carta Alta Suited,"['3♠', 'A♦', '10♠']",Carta Alta,"['7♥', '5♥', '3♠', 'A♦', '10♠']",['2♦'],Carta Alta,"['7♥', '5♥', '3♠', 'A♦', '10♠']",['3♣'],Pareja,"['7♥', '3♠', 'A♦', '10♠', '3♣']",Derrota
"['K♥', '6♠']",7,Carta Alta Offsuit,"['4♥', 'A♣', '6♦']",Pareja,"['K♥', '6♠', '4♥', 'A♣', '6♦']",['9♠'],Pareja,"['K♥', '6♠', 'A♣', '6♦', '9♠']",['K♣'],Doble Pareja,"['K♥', '6♠', 'A♣', '6♦', 'K♣']",Victoria
"['10♠', '2♠']",1,Carta Alta Suited,"['K♣', '3♠', '5♠']",Carta Alta,"['10♠', '2♠', 'K♣', '3♠', '5♠']",['7♣'],Carta Alta,"['10♠', 'K♣', '3♠', '5♠', '7♣']",['4♦'],Carta Alta,"['10♠', 'K♣', '5♠', '7♣', '4♦']",Derrota
"['2♦', '5♠']",2,Carta Alta Offsuit,"['6♥', 'A♥', 'Q♣']",Carta Alta,"['2♦', '5♠', '6♥', 'A♥', 'Q♣']",['9♠'],Carta Alta,"['5♠', '6♥', 'A♥', 'Q♣', '9♠']",['Q♠'],Pareja,"['6♥', 'A♥', 'Q♣', '9♠', 'Q♠']",Derrota
"['J♠', 'A♠']",5,Carta Alta Suited,"['10♣', '5♦', '6♥']",Carta Alta,"['J♠', 'A♠', '10♣', '5♦', '6♥']",['Q♠'],Carta Alta,"['J♠', 'A♠', '10♣', '6♥', 'Q♠']",['10♦'],Pareja,"['J♠', 'A♠', '10♣', 'Q♠', '10♦']",Derrota
"['9♣', '7♥']",2,Carta Alta Offsuit,"['7♣', '6♣', 'J♦']",Pareja,"['9♣', '7♥', '7♣', '6♣', 'J♦']",['A♥'],Pareja,"['9♣', '7♥', '7♣', 'J♦', 'A♥']",['A♦'],Doble Pareja,"['7♥', '7♣', 'J♦', 'A♥', 'A♦']",Derrota
"['A♣', '7♣']",5,Carta Alta Suited,"['4♥', 'K♥', '8♥']",Carta Alta,"['A♣', '7♣', '4♥', 'K♥', '8♥']",['4♣'],Pareja,"['A♣', '4♥', 'K♥', '8♥', '4♣']",['A♠'],Doble Pareja,"['A♣', '4♥', 'K♥', '4♣', 'A♠']",Victoria
"['4♣', '4♥']",4,Pareja Offsuit,"['6♦', '4♠', '2♠']",Trío,"['4♣', '4♥', '6♦', '4♠', '2♠']",['5♠'],Trío,"['4♣', '4♥', '6♦', '4♠', '5♠']",['5♥'],Full House,"['4♣', '4♥', '4♠', '5♠', '5♥']",Victoria
"['7♥', '3♦']",1,Carta Alta Offsuit,"['4♥', '5♦', '2♣']",Carta Alta,"['7♥', '3♦', '4♥', '5♦', '2♣']",['10♣'],Carta Alta,"['7♥', '3♦', '4♥', '5♦', '10♣']",['3♠'],Pareja,"['7♥', '3♦', '5♦', '10♣', '3♠']",Derrota
"['A♣', 'Q♥']",3,Carta Alta Offsuit,"['9♠', '3♥', '9♥']",Pareja,"['A♣', 'Q♥', '9♠', '3♥', '9♥']",['Q♦'],Doble Pareja,"['A♣', 'Q♥', '9♠', '9♥', 'Q♦']",['8♦'],Doble Pareja,"['A♣', 'Q♥', '9♠', '9♥', 'Q♦']",Victoria
"['A♠', '2♠']",1,Carta Alta Suited,"['2♥', '9♦', '4♦']",Pareja,"['A♠', '2♠', '2♥', '9♦', '4♦']",['4♥'],Doble Pareja,"['A♠', '2♠', '2♥', '4♦', '4♥']",['Q♣'],Doble Pareja,"['A♠', '2♠', '2♥', '4♦', '4♥']",Victoria
"['J♣', '8♦']",2,Carta Alta Offsuit,"['6♦', 'K♠', '5♣']",Carta Alta,"['J♣', '8♦', '6♦', 'K♠', '5♣']",['K♥'],Pareja,"['J♣', '8♦', '6♦', 'K♠', 'K♥']",['9♦'],Pareja,"['J♣', '8♦', 'K♠', 'K♥', '9♦']",Derrota
"['9♥', 'J♠']",1,Carta Alta Offsuit,"['9♦', '5♣', 'J♦']",Doble Pareja,"['9♥', 'J♠', '9♦', '5♣', 'J♦']",['Q♠'],Doble Pareja,"['9♥', 'J♠', '9♦', 'J♦', 'Q♠']",['A♣'],Doble Pareja,"['9♥', 'J♠', '9♦', 'J♦', 'A♣']",Victoria
"['2♠', '3♦']",1,Carta Alta Offsuit,"['Q♥', '4♥', '6♦']",Carta Alta,"['2♠', '3♦', 'Q♥', '4♥', '6♦']",['10♦'],Carta Alta,"['3♦', 'Q♥', '4♥', '6♦', '10♦']",['7♣'],Carta Alta,"['Q♥', '4♥', '6♦', '10♦', '7♣']",Derrota
"['3♦', 'Q♠']",4,Carta Alta Offsuit,"['3♥', 'A♣', '10♦']",Pareja,"['3♦', 'Q♠', '3♥', 'A♣', '10♦']",['Q♣'],Doble Pareja,"['3♦', 'Q♠', '3♥', 'A♣', 'Q♣']",['4♦'],Doble Pareja,"['3♦', 'Q♠', '3♥', 'A♣', 'Q♣']",Derrota
"['3♣', 'Q♣']",2,Carta Alta Suited,"['A♦', '8♣', 'Q♥']",Pareja,"['3♣', 'Q♣', 'A♦', '8♣', 'Q♥']",['4♥'],Pareja,"['Q♣', 'A♦', '8♣', 'Q♥', '4♥']",['4♠'],Doble Pareja,"['Q♣', 'A♦', 'Q♥', '4♥', '4♠']",Victoria
