cartas_jugador,num_rivales,mano_preflop,flop,mano_flop,cartas_flop,turn,mano_turn,cartas_turn,river,mano_river,cartas_river,resultado
"['6♣', 'J♦']",3,Carta Alta Offsuit,"['K♥', '7♣', '2♣']",Carta Alta,"['6♣', 'J♦', 'K♥', '7♣', '2♣']",['10♣'],Carta Alta,"['6♣', 'J♦', 'K♥', '7♣', '10♣']",['8♥'],Carta Alta,"['J♦', 'K♥', '7♣', '10♣', '8♥']",Derrota
"['5♦', '7♣']",1,Carta Alta Offsuit,"['2♦', '9♥', '3♥']",Carta Alta,"['5♦', '7♣', '2♦', '9♥', '3♥']",['10♦'],Carta Alta,"['5♦', '7♣', '9♥', '3♥', '10♦']",['Q♣'],Carta Alta,"['5♦', '7♣', '9♥', '10♦', 'Q♣']",Derrota
"['J♠', '9♦']",8,Carta Alta Offsuit,"['10♠', '10♣', 'Q♦']",Pareja,"['J♠', '9♦', '10♠', '10♣', 'Q♦']",['K♣'],Escalera,"['J♠', '9♦', '10♠', 'Q♦', 'K♣']",['10♦'],Escalera,"['J♠', '9♦', '10♠', 'Q♦', 'K♣']",Derrota
"['3♠', '2♥']",3,Carta Alta Offsuit,"['8♦', '10♠', '3♣']",Pareja,"['3♠', '2♥', '8♦', '10♠', '3♣']",['A♠'],Pareja,"['3♠', '8♦', '10♠', '3♣', 'A♠']",['4♠'],Pareja,"['3♠', '8♦', '10♠', '3♣', 'A♠']",Derrota
"['8♦', 'J♣']",7,Carta Alta Offsuit,"['5♣', '7♥', '6♥']",Carta Alta,"['8♦', 'J♣', '5♣', '7♥', '6♥']",['9♠'],Escalera,"['8♦', '5♣', '7♥', '6♥', '9♠']",['J♠'],Escalera,"['8♦', '5♣', '7♥', '6♥', '9♠']",Victoria
"['8♠', '10♣']",6,Carta Alta Offsuit,"['3♥', '3♠', '5♥']",Pareja,"['8♠', '10♣', '3♥', '3♠', '5♥']",['K♣'],Pareja,"['8♠', '10♣', '3♥', '3♠', 'K♣']",['A♣'],Pareja,"['10♣', '3♥', '3♠', 'K♣', 'A♣']",Derrota
"['7♦', '5♣']",1,Carta Alta Offsuit,"['2♠', '6♦', '8♥']",Carta Alta,"['7♦', '5♣', '2♠', '6♦', '8♥']",['6♠'],Pareja,"['7♦', '5♣', '6♦', '8♥', '6♠']",['10♠'],Pareja,"['7♦', '6♦', '8♥', '6♠', '10♠']",Derrota
"['A♣', 'K♥']",1,Carta Alta Offsuit,"['10♦', '8♠', '9♣']",Carta Alta,"['A♣', 'K♥', '10♦', '8♠', '9♣']",['4♠'],Carta Alta,"['A♣', 'K♥', '10♦', '8♠', '9♣']",['J♥'],Carta Alta,"['A♣', 'K♥', '10♦', '9♣', 'J♥']",Derrota
"['7♥', '7♦']",2,Pareja Offsuit,"['2♦', '8♠', 'Q♥']",Pareja,"['7♥', '7♦', '2♦', '8♠', 'Q♥']",['7♠'],Trío,"['7♥', '7♦', '8♠', 'Q♥', '7♠']",['K♣'],Trío,"['7♥', '7♦', 'Q♥', '7♠', 'K♣']",Victoria
"['3♠', '2♣']",3,Carta Alta Offsuit,"['6♣', '3♣', '2♠']",Doble Pareja,"['3♠', '2♣', '6♣', '3♣', '2♠']",['10♣'],Doble Pareja,"['3♠', '2♣', '3♣', '2♠', '10♣']",['7♥'],Doble Pareja,"['3♠', '2♣', '3♣', '2♠', '10♣']",Derrota
"['K♣', '8♣']",3,Carta Alta Suited,"['6♠', '5♠', 'Q♠']",Carta Alta,"['K♣', '8♣', '6♠', '5♠', 'Q♠']",['Q♦'],Pareja,"['K♣', '8♣', '6♠', 'Q♠', 'Q♦']",['2♦'],Pareja,"['K♣', '8♣', '6♠', 'Q♠', 'Q♦']",Derrota
"['8♠', '8♥']",6,Pareja Offsuit,"['Q♣', '4♠', '8♣']",Trío,"['8♠', '8♥', 'Q♣', '4♠', '8♣']",['4♣'],Full House,"['8♠', '8♥', '4♠', '8♣', '4♣']",['6♦'],Full House,"['8♠', '8♥', '4♠', '8♣', '4♣']",Victoria
"['5♦', 'K♠']",6,Carta Alta Offsuit,"['J♣', '3♣', 'A♥']",Carta Alta,"['5♦', 'K♠', 'J♣', '3♣', 'A♥']",['2♠'],Carta Alta,"['5♦', 'K♠', 'J♣', '3♣', 'A♥']",['Q♦'],Carta Alta,"['5♦', 'K♠', 'J♣', 'A♥', 'Q♦']",Derrota
"['10♣', '2♣']",5,Carta Alta Suited,"['9♦', '5♦', '3♣']",Carta Alta,"['10♣', '2♣', '9♦', '5♦', '3♣']",['8♦'],Carta Alta,"['10♣', '9♦', '5♦', '3♣', '8♦']",['7♠'],Carta Alta,"['10♣', '9♦', '5♦', '8♦', '7♠']",Derrota
"['9♥', '10♥']",4,Carta Alta Suited,"['Q♥', 'J♥', '3♣']",Carta Alta,"['9♥', '10♥', 'Q♥', 'J♥', '3♣']",['A♣'],Carta Alta,"['9♥', '10♥', 'Q♥', 'J♥', 'A♣']",['8♠'],Escalera,"['9♥', '10♥', 'Q♥', 'J♥', '8♠']",Victoria
"['5♥', '2♣']",2,Carta Alta Offsuit,"['Q♠', 'Q♣', '9♥']",Pareja,"['5♥', '2♣', 'Q♠', 'Q♣', '9♥']",['10♣'],Pareja,"['5♥', 'Q♠', 'Q♣', '9♥', '10♣']",['8♦'],Pareja,"['Q♠', 'Q♣', '9♥', '10♣', '8♦']",Derrota
